Num�ro Compte   ;123456789
Type         ;CCP
Compte tenu en  ;euros
Date            ;27/03/2021
Solde (EUROS)   ;187,77
Solde (FRANCS)  ;109,80

Date;Libell�;Montant(EUROS);Montant(FRANCS)
26/03/2021;"BUY SOMETHING FREE MOBILE 01";-20,00;
16/03/2021;"BUY SOMETHING 02";-10,00;
12/03/2021;"BUY SOMETHING 03";-15,00;
09/03/2021;"BUY SOMETHING 04";-8,00;

09/02/2021;"BUY SOMETHING EDF 04";-41,00;
07/02/2021;"BUY SOMETHING 04";-52,00;
09/02/2021;"BUY SOMETHING LOYER 05";-300,00;
08/02/2021;"BUY SOMETHING 06";-44,00;
09/02/2021;"BUY SOMETHING 07";-52,53;
