Num�ro Compte   ;123456789
Type         ;CCP
Compte tenu en  ;euros
Date            ;28/07/2021
Solde (EUROS)   ;132,85
Solde (FRANCS)  ;109,80

Date;Libell�;Montant(EUROS);Montant(FRANCS)
26/07/2021;"BUY SOMETHING FREE MOBILE 01";-30,00;
16/07/2021;"BUY SOMETHING 02";-21,00;
12/07/2021;"BUY SOMETHING 03";-22,00;
09/06/2021;"BUY RETRAIT 04";-36,00;

09/06/2021;"BUY SOMETHING EDF 04";-22,00;
09/06/2021;"BUY SOMETHING 04";-64,00;
09/05/2021;"BUY RETRAIT 05";-11,00;
08/05/2021;"BUY SOMETHING 06";-32,00;
09/05/2021;"BUY SOMETHING 07";-44,00;
